date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:32:20	53595/53595	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2017:17:02%20GMT	https://lmpixels.com/demo/breezycv/light/1/index.html	C:/Users/Admin/Desktop/ss/lmpixels.com/demo/breezycv/light/1/index.html	(from )
13:32:21	214/214	---MC-	302	error ('Found')	text/html	date:Fri,%2019%20Mar%202021%2006:32:24%20GMT	https://lmpixels.com/robots.txt		(from )
13:32:21	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225e733e7e-47e%22	https://lmpixels.com/demo/breezycv/light/1/favicon.ico	C:/Users/Admin/Desktop/ss/lmpixels.com/demo/breezycv/light/1/favicon.ico	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:32:21	585/585	---MCZ	200	added ('OK')	text/css	etag:W/%225e4f9df0-4b3%22	https://lmpixels.com/demo/breezycv/light/1/css/reset.css	C:/Users/Admin/Desktop/ss/lmpixels.com/demo/breezycv/light/1/css/reset.css	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:32:22	28977/28977	---MCZ	200	added ('OK')	text/css	etag:W/%225b5690ea-7131%22	https://lmpixels.com/demo/breezycv/light/1/css/bootstrap-grid.min.css	C:/Users/Admin/Desktop/ss/lmpixels.com/demo/breezycv/light/1/css/bootstrap-grid.min.css	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:32:22	37742/37742	---MCZ	200	added ('OK')	text/css	etag:W/%225e4b9a18-a7e5%22	https://lmpixels.com/demo/breezycv/light/1/css/animations.css	C:/Users/Admin/Desktop/ss/lmpixels.com/demo/breezycv/light/1/css/animations.css	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:32:22	4320/4320	---MCZ	200	added ('OK')	text/css	etag:W/%225e46d326-113b%22	https://lmpixels.com/demo/breezycv/light/1/css/perfect-scrollbar.css	C:/Users/Admin/Desktop/ss/lmpixels.com/demo/breezycv/light/1/css/perfect-scrollbar.css	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:32:22	2912/2912	---MCZ	200	added ('OK')	text/css	etag:W/%22580fd9b6-1010%22	https://lmpixels.com/demo/breezycv/light/1/css/owl.carousel.css	C:/Users/Admin/Desktop/ss/lmpixels.com/demo/breezycv/light/1/css/owl.carousel.css	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:32:23	5810/5810	---MCZ	200	added ('OK')	text/css	etag:W/%2258aacbc8-1e66%22	https://lmpixels.com/demo/breezycv/light/1/css/magnific-popup.css	C:/Users/Admin/Desktop/ss/lmpixels.com/demo/breezycv/light/1/css/magnific-popup.css	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:32:23	43059/43059	---MCZ	200	added ('OK')	text/css	etag:W/%225e982f9e-e663%22	https://lmpixels.com/demo/breezycv/light/1/css/main.css	C:/Users/Admin/Desktop/ss/lmpixels.com/demo/breezycv/light/1/css/main.css	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
